Timestamp	operation-automated	config-track-changes	config-decide-changes	config-automated-changes	config-gen-deploy	prod-changes-minor	prod-changes-major	troubleshoot	software-upgrade	software-validation	anomaly-detection	env-nbr-devices	env-vendors	env-type	env-language-python	env-language-golang	env-language-javascript	env-language-ruby	env-language-c-cpp	env-language-shell	env-language-other	env-virtual-network	env-server-automation	env-location	trend-topics-iac	trend-topics-event-driven	trend-topics-chatops	trend-topics-ci-cd	trend-topics-devops	trend-topics-telemetry-streaming	trend-topics-ibns	trend-tools-ansible	trend-tools-chef	trend-tools-puppet	trend-tools-saltstack	trend-tools-napalm	trend-tools-git	trend-tools-keyword-testing	trend-tools-ci	trend-tools-stackstorm	trend-tools-apstra	trend-tools-gluware	trend-tools-anuta-networks	feedback
10/14/16 10:05	"Configuration deployment, Configuration archiving, Data Collection / Reporting, Compliance Checks"	Version control	Partially	No	Custom scripts (python ..)	More than 1 a day	1 to 5 per month					251-1000	"Cisco IOS, Cisco NX-OS, Juniper"	"Datacenter, WAN, Campus/User Access"	A lot	A little		A lot				VMWare	"Chef, Puppet"	North America								Currently Evaluating it	No interest	Thinking about it	I don't know	I don't know	Already in production	I don't know	I don't know	I don't know	I don't know			
10/18/16 0:41	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment, Configuration archiving, Software qualification, Troubleshooting, Pre/Post Change Checks, Anomaly detection, Data Collection / Reporting, Compliance Checks"	"Version control, Rancid/Oxidized, Vendor specific tools"	Partially	Yes	"Ansible, NAPALM, Custom scripts (python ..)"	More than 1 a day	More than 1 a day	"Custom scripts (python ..), Vendor specific tools"	"Ansible, Custom scripts (python ..)"	Custom scripts	Custom scripts	1001+	"Arista Networks, Brocade, Cisco IOS, Cisco NX-OS, Juniper"	"Datacenter, Internet Peering, WAN"	A lot	A lot	None	None	None	None		"Vagrant, OpenStack, Docker or Containers, Bare hypervisor - KVM, GNS3"	"Ansible, in-house developed tool"	North America	Already in production	Currently evaluating it	Thinking about it	Already in production	Already in production	Already in production	No interest	Currently Evaluating it	No interest	No interest	No interest	Already in production	Already in production	No interest	Already in production	Thinking about it	No interest	No interest	No interest	Testing is top-of-mind for me. Visibility into how my network is ACTUALLY serving applications beyond simple ping tests.
10/18/16 21:45	"Day 0 Provisioning using a vendor solution, Configuration deployment, Troubleshooting, Pre/Post Change Checks, Compliance Checks"	Version control	Yes	No		1 to 5 per week	Less than 1 per month	StackStorm	We haven't automated software upgrades	We haven't automated software qualification	Stackstorm	51-250	Brocade	"Datacenter, Campus/User Access"	A lot	A little	None	A little	None	A little		We are not using virtual network devices for training or qualification	Microsoft SCCM	North America	Already in production	Already in production	Already in production	Already in production	Already in production	Currently evaluating it	Thinking about it	Currently Evaluating it	No interest	No interest	Thinking about it	Currently Evaluating it	Already in production	Already in production	Already in production	Already in production	Thinking about it	Thinking about it	I don't know	
10/23/16 23:12	"Configuration generation, Configuration deployment, Software upgrade, Pre/Post Change Checks, Data Collection / Reporting"	Vendor specific tools		Yes	"Ansible, SaltStack"	1 to 5 per month	Less than 1 per month	"Ansible, SaltStack"	"Ansible, SaltStack, Custom scripts (python ..)"	"Ansible, SaltStack, Custom scripts"	"Ansible, SaltStack, Syslog, Custom scripts, Vendor specific tools"	0-50	Juniper	Datacenter	A lot							Docker or Containers	"Ansible, SaltStack"	Asia																				
10/31/16 15:21	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment, Configuration archiving, Software qualification, Troubleshooting, Software upgrade, Pre/Post Change Checks, Anomaly detection, Data Collection / Reporting, Compliance Checks"	Version control	Partially	No	"Ansible, NAPALM"	More than 1 a day	1 to 5 per week	"Ansible, StackStorm, NAPALM"	Ansible	Ansible	"Ansible, NAPALM"	1001+	"Arista Networks, Linux"	"Datacenter, Internet Peering"	A lot	A little				A little		"Vagrant, Docker or Containers"	Chef	Europe	Already in production	Already in production	Already in production	Already in production	Already in production	Currently evaluating it	Already in production	Already in production	No interest	No interest	No interest	Already in production	Already in production	No interest	Already in production	Already in production	No interest	No interest	No interest	
10/31/16 15:26	"Configuration archiving, Data Collection / Reporting, Compliance Checks"	Vendor specific tools	No	Yes	We haven't automated the generation or deployment of our configurations	More than 1 a day	Less than 1 per month	We haven't automated the troubleshooting	We haven't automated software upgrades	We haven't automated software qualification	We haven't automated the detection of anomaly	1001+	"Arista Networks, Cisco IOS, Cisco NX-OS, HPE, Huawei"	"Datacenter, Campus/User Access, WAN"	A little	None	None	None	None	A little	A little	Vendor provided solution	"We don't have automation for server, Microsoft SCCM"	South America	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	Thinking about it	I don't know	I don't know	
10/31/16 15:29	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment, Pre/Post Change Checks, Data Collection / Reporting"	"Rancid/Oxidized, Vendor specific tools"	No	Yes	"Ansible, SaltStack, NAPALM, Custom scripts (python ..)"	1 to 5 per month	1 to 5 per month	SaltStack	"Custom scripts (python ..), Network vendor specific tools, Junos Space"	We haven't automated software qualification	Custom scripts	1001+	"Arista Networks, Brocade, Cisco IOS, Cisco NX-OS, Cumulus Networks, Juniper"	"Datacenter, SP Backbone"	A lot	None	A little	A little	None	None	None	"Bare hypervisor - KVM, Vendor provided solution"	"Ansible, SaltStack"	North America	Thinking about it	Currently evaluating it	Currently evaluating it	Thinking about it	Thinking about it	Currently evaluating it	Thinking about it	Already in production	No interest	No interest	Currently Evaluating it	Currently Evaluating it	Already in production	Already in production	Currently Evaluating it	Thinking about it	Thinking about it	I don't know	I don't know	
10/31/16 16:05	"Configuration generation, Configuration archiving, Software upgrade, Data Collection / Reporting, Compliance Checks"	"Version control, FTP/SCP/TFTP, Rancid/Oxidized"	No	Yes	"Ansible, NAPALM"	1 to 5 per week	1 to 5 per month	Custom scripts (python ..)	"Ansible, Custom scripts (python ..), Oxidized, Third Party Software"	We haven't automated software qualification	We haven't automated the detection of anomaly	251-1000	"Arista Networks, Cisco IOS, Cisco NX-OS, Dell, Juniper, HPE, Palo Alto Networks, Aruba Networks"	"Datacenter, Campus/User Access, WAN"	A lot	None	None	None	A little	A little	A little	"VMWare, GNS3"	Ansible	Europe	Currently evaluating it	Thinking about it	No interest	Currently evaluating it	No interest	Thinking about it	Thinking about it	Already in production	No interest	Thinking about it	No interest	Currently Evaluating it	Already in production	I don't know	Currently Evaluating it	I don't know	I don't know	I don't know	I don't know	
10/31/16 16:26	"Configuration deployment, Configuration archiving, Anomaly detection, Compliance Checks"	"Version control, FTP/SCP/TFTP, Rancid/Oxidized, Vendor specific tools"	No	Yes	We haven't automated the generation or deployment of our configurations	1 to 5 per week	1 to 5 per month	Vendor specific tools	Network vendor specific tools	Network vendor specific tools	"Syslog, Vendor specific tools"	1001+	"Cisco IOS, Cisco NX-OS, Avaya, F5 Networks"	"Datacenter, Campus/User Access, Internet Peering, WAN"	A little	None	None	None	None	A little	None	"VMWare, GNS3, Vendor provided solution"	"Ansible, Microsoft SCCM"	North America	Thinking about it	No interest	I don't know	I don't know	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	I don't know	I don't know	Thinking about it	I don't know	I don't know	I don't know	I don't know	I don't know	I don't know	
10/31/16 16:37	"Configuration generation, Configuration archiving, Software upgrade, Data Collection / Reporting"	Rancid/Oxidized	No	Yes	"Ansible, Custom scripts (python ..)"	Less than 1 per month	Less than 1 per month	We haven't automated the troubleshooting	"Network vendor specific tools, Extreme Management Center"	We haven't automated software qualification	We haven't automated the detection of anomaly	51-250	"Fortinet, Extreme Networks, Zebra, Citrix"	Campus/User Access	A lot	None	None	A little	None	A little	None	"Vagrant, VMWare, Docker or Containers"	Ansible	Europe	Thinking about it	Currently evaluating it	I don't know	No interest	Thinking about it	I don't know	I don't know	Already in production	No interest	No interest	No interest	I don't know	No interest	I don't know	No interest	I don't know	I don't know	I don't know	I don't know	
