Timestamp	env-nbr-devices	env-vendors	env-type	env-language-python	env-language-golang	env-language-javascript	env-language-ruby	env-language-c-cpp	env-language-shell	env-language-expect	env-language-powershell	env-language-other	env-virtual-network	env-server-automation	env-location	org-preference	operation-automated	config-track-changes	config-decide-changes	config-automated-changes	config-gen-deploy	prod-changes-minor	prod-changes-major	software-upgrade	software-validation	anomaly-detection-sources	anomaly-detection-signal	transition-team-how-long	transition-team-actions	transition-self-how-long	transition-self-nbr-hours	transition-self-find-time	trend-topics-iac	trend-topics-event-driven	trend-topics-chatops	trend-topics-ci-cd	trend-topics-devops	trend-topics-telemetry-streaming	trend-topics-ibns	trend-topics-sot	trend-topics-graph-db	trend-topics-network-health	trend-tools-ansible	trend-tools-chef	trend-tools-puppet	trend-tools-saltstack	trend-tools-napalm	trend-tools-nornir	trend-tools-netbox	trend-tools-elk	trend-tools-tsdb	trend-tools-kentik	trend-tools-nso	trend-tools-git	trend-tools-network-verification	trend-tools-keyword-testing	trend-tools-ci	trend-tools-stackstorm	feedback
10/10/19 17:24	5001-10000	"Arista, Cisco IOS/IOS XE, Cisco NX-OS/ACI"	"Datacenter, Internet Peering, Service Provider / Edge, Public Cloud"	A little		A little	A little		A little			A lot	GNS3	Ansible	Europe	build internally	"Configuration deployment, Configuration archiving"	"Version control, Rancid/Oxidized"	No	Yes	Low level custom scripts (Python paramiko/socket)	More than 1 a day	1 to 5 per month	Custom 		"SNMP, Syslog, sFlow/Netflow"	"Up/Down/Threshold alert, Events correlation / rule engine"	1 to 2 years	Some of us learned on their own	Less than 1 year	201-1000	Learned on my own time	Already in production	Thinking about it	No interest	Already in production	Already in production	Thinking about it				Already in production	Already in production	No interest	No interest	No interest	No interest	No interest	No interest	Already in production	Already in production	No interest	No interest	Already in production	No interest	No interest	Already in production	No interest	
10/10/19 17:31	251-1000	"Arista, Cisco IOS/IOS XE, Cumulus, Juniper, Microsoft Azure"	"Datacenter, Campus/User Access, Internet Peering, WAN, Service Provider / Edge, Public Cloud"	A lot					A little	A little	A little		"Vagrant, VMWare, Non-VMWare hypervisor (KVM et al.), EVE-NG"	"Ansible, Puppet, SaltStack"	Australia / Oceania / Pacific Islands	"no prefered approach, varies on case by case"	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment, Configuration archiving, Troubleshooting, Software upgrade, Pre/Post Change Checks, Anomaly detection, Data Collection / Reporting, Compliance Checks, Topology Mapping"	Rancid/Oxidized	Partially	No	"Ansible, SaltStack, NAPALM, Controller (ODL/DNAC/NSX/OpenContrail...)"	More than 1 a day	1 to 5 per week	"Ansible, SaltStack"	"Custom scripts using common libraries (netmiko/napalm), Network vendor specific tools"	"Other active probes (IP SLA/RPM), External probes (pingmesh), Syslog, sFlow/Netflow, Routing Information, Streaming Telemetry"	"Up/Down/Threshold alert, Events correlation / rule engine, Events correlation using AI/ML"	2 to 5 years	"Some of us learned on their own, Some of us took some network automation / programming training, We engaged a consulting firm to help get started, We hired dedicated Network Automation Engineer(s)"	1 to 2 years	201-1000	Attended formal training	Already in production	Currently evaluating it	Already in production	Currently evaluating it	Already in production	Already in production	Currently evaluating it	Already in production	Thinking about it	Currently evaluating it	Already in production		Already in production	Already in production	Already in production	Already in production	Thinking about it	Already in production	Already in production			Already in production	Thinking about it	Currently Evaluating it	Currently Evaluating it	Already in production	
10/10/19 17:49	0-50	"Extreme Networks (brocade), Cisco IOS/IOS XE, Cumulus"	"Datacenter, Campus/User Access"	A lot	A little	None	None	None	A little	None	None	None	"Vagrant, Non-VMWare hypervisor (KVM et al.), GNS3"	Ansible	Europe	use open source without support	"Configuration generation, Configuration deployment, Configuration archiving"	"Version control, Custom scripts using common libraries (netmiko/napalm)"	Partially	Yes	"Ansible, Nornir, NAPALM, Custom scripts using common libraries (netmiko/napalm)"	1 to 5 per month	Not sure			"ICMP/PING, Syslog, Routing Information"	Up/Down/Threshold alert	Less than 1 year	Some of us learned on their own	1 to 2 years	201-1000	Learned on my own time	Currently evaluating it	Thinking about it	Thinking about it	Currently evaluating it	Thinking about it	Thinking about it	Thinking about it	Already in production	Thinking about it	Thinking about it	Already in production	No interest	No interest	Thinking about it	Already in production	Currently Evaluating it	Already in production	Already in production	Thinking about it	I don't know	I don't know	Already in production	Currently Evaluating it	Currently Evaluating it	Already in production	Thinking about it	
10/10/19 17:50	251-1000	"Arista, Cisco IOS/IOS XE, Cisco NX-OS/ACI, Cisco IOS XR, Juniper, Amazon AWS, F5, Checkpoint"	"Datacenter, Internet Peering, WAN, Service Provider / Edge, Public Cloud"	A lot	A little				A little			A little	"vrnetlab, Docker Compose, GNS3, Vendor provided solution (VIRL / Junosphere .. )"	"Ansible, SaltStack, RunDeck"	Europe	"no prefered approach, varies on case by case"	"Configuration generation, Configuration deployment, Configuration archiving, Troubleshooting, Pre/Post Change Checks, Anomaly detection, Data Collection / Reporting, Compliance Checks"	"Version control, Custom scripts using common libraries (netmiko/napalm)"	Partially	Yes	"Ansible, Low level custom scripts (Python paramiko/socket)"	1 to 5 per month	Less than 1 per month	Nornir	Ansible	"ICMP/PING, SNMP, Syslog, Streaming Telemetry"	"Up/Down/Threshold alert, Events correlation / rule engine, Events correlation using AI/ML, ML from Elastic stack - needs some more work"	2 to 5 years	We hired dedicated Network Automation Engineer(s)	2 to 5 years	1001-4000	Dedicated some time per week at work	Currently evaluating it	Currently evaluating it	Already in production	Currently evaluating it	Already in production	Currently evaluating it	Currently evaluating it	Already in production	Currently evaluating it	Already in production	Already in production	No interest	No interest	Currently Evaluating it	I don't know	Thinking about it	Currently Evaluating it	Already in production	No interest	I don't know	Thinking about it	Already in production	Currently Evaluating it	Currently Evaluating it	Already in production	Currently Evaluating it	
10/10/19 18:04	1001-5000	"Cisco IOS/IOS XE, Cisco NX-OS/ACI"	"Datacenter, Campus/User Access, WAN"	A little	None	None	None	None	None	None	None	None	We are not using virtual network devices for training or qualification	Ansible	North America	use open source with support	"Configuration generation, Compliance Checks"	We are not keeping track of that	No	Yes	Ansible	More than 1 a day	1 to 5 per month	Ansible	We haven’t automated software qualification	"ICMP/PING, SNMP"	Up/Down/Threshold alert	Less than 1 year	Some of us learned on their own	2 to 5 years	201-1000	Learned on my own time	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	No interest	No interest	No interest	No interest	No interest	Already in production			Thinking about it	Thinking about it	Thinking about it	Thinking about it	No interest	No interest	No interest	Thinking about it	Already in production	Thinking about it	No interest	No interest	Thinking about it	
10/10/19 18:06	0-50	"Cisco IOS/IOS XE, Cisco NX-OS/ACI, Dell/EMC, VMWare"	"Datacenter, Campus/User Access"	A lot									"Vagrant, VMWare, GNS3, EVE-NG, Vendor provided solution (VIRL / Junosphere .. )"	Ansible	North America	"no prefered approach, varies on case by case"	"Configuration generation, Configuration deployment, Pre/Post Change Checks"	"Version control, Rancid/Oxidized, Custom scripts using common libraries (netmiko/napalm)"	Partially	Yes	"Ansible, Nornir, NAPALM, Low level custom scripts (Python paramiko/socket), Custom scripts using common libraries (netmiko/napalm), Network vendor specific tools"	1 to 5 per week	Not sure	Ansible	We haven’t automated software qualification	"Other active probes (IP SLA/RPM), External probes (pingmesh), SNMP, Syslog, API, Streaming Telemetry"	We haven’t automated the detection of anomaly	1 to 2 years	"Some of us learned on their own, Some of us took some network automation / programming training, We participated in hackathon(s)"	1 to 2 years	201-1000	Dedicated some time per week at work	Currently evaluating it	Currently evaluating it	Thinking about it	Currently evaluating it	Already in production	Currently evaluating it	I don't know	Already in production	I don't know	Already in production	Already in production	Currently Evaluating it	Already in production	Currently Evaluating it	Already in production	Already in production	Thinking about it	I don't know	I don't know	I don't know	Currently Evaluating it	Already in production	Currently Evaluating it	I don't know	Already in production	Currently Evaluating it	
10/10/19 18:06	1001-5000	"Cisco IOS/IOS XE, Cisco NX-OS/ACI, Cisco IOS XR, VMWare, Google GCP, Amazon AWS, Microsoft Azure, Palo Alto"	"Datacenter, Campus/User Access, Internet Peering, WAN, Service Provider / Edge, Public Cloud"	A lot	None	None	None	None	A little	None	None	A little	"VMWare, Docker Compose, EVE-NG"	Ansible	North America	buy	"Configuration generation, Troubleshooting"	"Version control, Solarwind NCM"	No	Yes	"Ansible, Nornir, Custom scripts using common libraries (netmiko/napalm)"	More than 1 a day	1 to 5 per month	We haven't automated software upgrades	We haven’t automated software qualification	"ICMP/PING, SNMP, Syslog"	Up/Down/Threshold alert	Less than 1 year	"Some of us learned on their own, Some of us took some network automation / programming training"	1 to 2 years	201-1000	Dedicated some time per week at work	Thinking about it	Thinking about it	No interest	No interest	Thinking about it	No interest	No interest	Thinking about it	No interest	Thinking about it	Currently Evaluating it				Currently Evaluating it	Currently Evaluating it											
10/10/19 18:08	251-1000	"Cisco IOS/IOS XE, Cisco NX-OS/ACI, Dell/EMC, Juniper, HPE/Aruba"	"Datacenter, Campus/User Access, Internet Peering, WAN, Service Provider / Edge, Public Cloud"	A little	None	None	None	None	A little	None	None	None	"Vagrant, GNS3, EVE-NG"	Chef	North America	use open source without support	"Configuration generation, Configuration archiving"	Version control	No	Yes	Ansible	More than 1 a day	Less than 1 per month	Ansible	Ansible	"ICMP/PING, SNMP"	Up/Down/Threshold alert	Less than 1 year	"Some of us learned on their own, Some of us took some network automation / programming training"	1 to 2 years	201-1000	Learned on my own time	Already in production	Thinking about it	Already in production	Currently evaluating it	Currently evaluating it	Thinking about it	No interest	Already in production	No interest	Already in production	Already in production	Already in production	Already in production	No interest	Currently Evaluating it	Currently Evaluating it	Already in production	Already in production	Already in production	Thinking about it	No interest	Already in production	Thinking about it	No interest	Already in production	Thinking about it	
10/10/19 18:12	51-250	"Cisco IOS/IOS XE, VMWare"	"WAN, Service Provider / Edge"	A lot	None	None	None	None	A little	None	None	None	GNS3	Ansible	North America	buy	"Configuration generation, Configuration deployment, Troubleshooting, Compliance Checks"	Version control	Partially	Yes	Ansible	1 to 5 per week	Less than 1 per month	We haven't automated software upgrades	We haven’t automated software qualification	"ICMP/PING, Other active probes (IP SLA/RPM), SNMP, Syslog"	Up/Down/Threshold alert	2 to 5 years	Some of us learned on their own	1 to 2 years	201-1000	Learned on my own time	Already in production	Thinking about it	Already in production	Already in production	Already in production	Thinking about it	I don't know	Currently evaluating it	I don't know	Currently evaluating it	Already in production	No interest	No interest	Thinking about it	Currently Evaluating it	Currently Evaluating it	Thinking about it	Currently Evaluating it	Thinking about it	Thinking about it	Thinking about it	Already in production	Thinking about it	Thinking about it	Already in production	Thinking about it	
10/10/19 18:16	5001-10000	"Arista, Cisco IOS/IOS XE, Cumulus, Juniper, Amazon AWS"	"Datacenter, Campus/User Access, Internet Peering, WAN, Service Provider / Edge, Public Cloud"	A lot					A lot				AWS	Ansible	North America	use open source with support	"Day 0 Provisioning using a vendor solution, Configuration generation, Configuration deployment, Configuration archiving, Software qualification, Troubleshooting, Pre/Post Change Checks, Anomaly detection, Data Collection / Reporting, Compliance Checks"	Version control	Yes	No	Ansible	More than 1 a day	More than 1 a day	Ansible	Ansible	"ICMP/PING, Other active probes (IP SLA/RPM), Syslog, API"	"Up/Down/Threshold alert, Events correlation / rule engine"	More than 5 years	Some of us took some network automation / programming training	Less than 1 year	201-1000	Attended formal training	Already in production	Already in production	Already in production	Already in production	Already in production	Thinking about it	No interest	Already in production	I don't know	I don't know	Already in production	No interest	No interest	No interest	No interest	I don't know	No interest	Currently Evaluating it	Currently Evaluating it	I don't know	No interest	Already in production	No interest	No interest	Already in production	No interest	Ansible does it all
