Timestamp	operation-automated	config-track-changes	config-gen-deploy	prod-changes-minor	prod-changes-major	config-automated-changes	config-decide-changes	transport-protocol	software-upgrade	software-validation	telemetry-collect	telemetry-store	anomaly-detection-sources	anomaly-detection-signal	env-virtual-network	sot-present	sot-where	role	env-nbr-devices	env-vendors	env-type	env-language-python	env-language-golang	env-language-rust	env-language-javascript	env-language-ruby	env-language-c-cpp	env-language-shell	env-language-expect	env-language-powershell	env-language-other	env-location	org-preference	culture-blocker	leadership-support	transition-team-how-long	transition-team-actions	transition-self-how-long	transition-self-nbr-hours	transition-self-find-time	trend-topics-iac	trend-topics-event-driven	trend-topics-chatops	trend-topics-ci-cd	trend-topics-devops	trend-topics-telemetry-streaming	trend-topics-ibns	trend-topics-sot	trend-topics-graph-db	trend-topics-network-verification	trend-topics-keyword-testing	trend-topics-ci	trend-topics-network-health	trend-tools-ansible	trend-tools-terraform	trend-tools-saltstack	trend-tools-napalm	trend-tools-nornir	trend-tools-netbox	trend-tools-elk	trend-tools-grafana	trend-tools-prometheus	trend-tools-influxdb	trend-tools-nso	trend-tools-stackstorm	trend-tools-gns3	trend-tools-eve-ng	trend-tools-cml	feedback
9/30/20 10:10	"Day 0 Provisioning using a vendor solution (ZTP/PnP/POAP/Amnesiac/etc.), Configuration generation, Configuration deployment, Configuration archiving"	Version control	"Ansible, Terraform"	More than 1 a day	1 to 5 per week	Yes	Yes	"CLI/SSH (Non-Netconf), HTTP/HTTPS (Non-Restconf)"	Ansible	Ansible	"Telegraf - SNMP, Network vendor specific collector"	"InfluxDB, Prometheus, Elasticsearch, Splunk, Grafana, Kibana"	"ICMP/PING, Other active probes (IP SLA/RPM), Syslog, sFlow/Netflow"	"Up/Down/Threshold alert, Events correlation / rule engine"	"VMWare, GNS3, Vendor provided solution (CML/VIRL/Junosphere/etc.)"	Partially - we are trying to maintain some source of data but there is always a drift with the real network	An IPAM (Infoblox/Netbox/etc.)	Network Architect / Engineer	10001-50000	"Amazon AWS, Arista, Checkpoint, Cisco ASA/Firepower, Cisco IOS/IOS XE/Viptela, Cisco IOS XR, Cisco NX-OS/ACI, F5, Fortinet, Juniper, HPE, Microsoft Azure, Palo Alto, VMWare"	"Datacenter, Campus/User Access, Internet Peering, WAN, Service Provider / Edge, Public Cloud"	A little	None	None	None	None	None	A little	None	A little	None	Europe	use open source without support	"Time, Poor leadership / no automation strategy, Skills Gap"	No - our leadership is not formally investing in automation - but this remains a grassroots effort (neutral)	2 to 5 years	"Some of us learned on their own, Some of us took some network automation / programming training"	Less than 1 year	1001-4000	Learned on my own time	Already in production	Thinking about it	Thinking about it	Thinking about it	Already in production	Currently evaluating it	Thinking about it	Already in production	Currently evaluating it	Currently evaluating it	I don't know	Already in production	Already in production	Already in production	Already in production	No interest	Currently evaluating it	Currently evaluating it	Already in production	I don't know	Already in production	Already in production	Already in production	No interest	I don't know	Already in production	Currently evaluating it	Already in production	
9/30/20 10:28	"Configuration generation, Configuration deployment, Configuration archiving, Software upgrade, Pre/Post Change Checks, Anomaly detection, Data Collection / Reporting"	"Version control, Rancid/Oxidized, Internally developed scripts"	"Ansible, Internally developed scripts"	More than 1 a day	1 to 5 per week	Yes	Yes	"CLI/SSH (Non-Netconf), Netconf"	"Ansible, Nornir"	We haven’t automated software qualification	Internally developed collector	"Timescale, Grafana"	"ICMP/PING, API"	Up/Down/Threshold alert	"Kubernetes, Non-VMWare hypervisor (KVM/etc.)"	Partially - we are trying to maintain some source of data but there is always a drift with the real network	"An IPAM (Infoblox/Netbox/etc.), Source Control (GitHub/GitLab/etc.), Database implementation"	Network Automation Engineer	251-1000	"Cisco IOS XR, Juniper"	"Internet Peering, Service Provider / Edge"	A lot	None	None	None	None	None	None	None	None	None	North America	use open source without support	"Poor leadership / no automation strategy, Skills Gap"	Yes - but we are not seeing real investment (reactive)	More than 5 years	Some of us learned on their own	More than 5 years	More than 4000	Learned on my own time	Already in production	Already in production	No interest	Already in production	No interest	Currently evaluating it	No interest	Already in production	No interest	No interest	No interest	Already in production	Already in production	Already in production	Already in production	No interest	Already in production	Already in production	Already in production	No interest	Already in production	No interest	No interest	No interest	No interest	No interest	No interest	No interest	
9/30/20 11:40	"Configuration generation, Configuration deployment, Configuration archiving, Anomaly detection"	"Version control, Rancid/Oxidized, Internally developed scripts"	"Ansible, Terraform, Internally developed scripts"	1 to 5 per week	Less than 1 per month	Yes	Yes	"CLI/SSH (Non-Netconf), HTTP/HTTPS (Non-Restconf)"	We haven’t automated software upgrades	We haven’t automated software qualification	"Telegraf - SNMP, Telegraf - Exec/Execd, We are using a traditional Network Monitoring solution"	"Prometheus, Grafana"	"ICMP/PING, SNMP, Syslog, API"	Up/Down/Threshold alert	EVE-NG	Partially - we are trying to maintain some source of data but there is always a drift with the real network	Source Control (GitHub/GitLab/etc.)	Network Administrator / Operator	51-250	"Amazon AWS, Cisco ASA/Firepower, Cisco IOS/IOS XE/Viptela, Cisco NX-OS/ACI, F5, Palo Alto, quagga"	"Datacenter, WAN"	A lot	A little		A little			A little	A little			Europe	use open source without support	"Time, Poor leadership / no automation strategy, Skills Gap"	No - our leadership is not formally investing in automation - but this remains a grassroots effort (neutral)	1 to 2 years	Some of us learned on their own	2 to 5 years	1001-4000	"Learned on my own time, Transitioned into the new role full-time and learned on the job"	Already in production	Thinking about it	No interest	Already in production	I don't know	Already in production	I don't know	No interest	I don't know	Thinking about it	No interest	Already in production	Already in production	Already in production	Already in production	No interest	No interest	No interest	Currently evaluating it	Already in production	Already in production	Already in production	No interest	No interest	No interest	No interest	No interest	No interest	
9/30/20 13:19	"Configuration generation, Configuration deployment, Configuration archiving, Software upgrade, Pre/Post Change Checks, Anomaly detection"	Rancid/Oxidized	Internally developed scripts	More than 1 a day	1 to 5 per week	Yes	Partially	CLI/SSH (Non-Netconf)	Internally developed scripts	We haven’t automated software qualification	We are using a traditional Network Monitoring solution	We are using a traditional Network Monitoring solution	"External probes (pingmesh), SNMP, Syslog, sFlow/Netflow"	"Up/Down/Threshold alert, Events correlation / rule engine"	"Docker Compose, EVE-NG, Vendor provided solution (CML/VIRL/Junosphere/etc.)"	Partially - we are trying to maintain some source of data but there is always a drift with the real network	"An IPAM (Infoblox/Netbox/etc.), A DCIM (Netbox/Device42/etc.), Database implementation"	Network Architect / Engineer	10001-50000	"Arista, Ciena, Cisco IOS/IOS XE/Viptela, Cisco IOS XR, Cisco NX-OS/ACI"	"Datacenter, Internet Peering, WAN, Service Provider / Edge"	A lot	None	None	A little	A little	None	A lot	A little	None	None	North America	build internally	"Time, Fear / Distrust of automation, Poor leadership / no automation strategy, Skills Gap"	Yes - but we are not seeing real investment (reactive)	2 to 5 years	"Some of us learned on their own, Some of us took some network automation / programming training"	Less than 1 year	201-1000	"Learned on my own time, Dedicated some time per week at work"	Already in production	Thinking about it	Already in production	Already in production	Thinking about it	Thinking about it	Already in production	Already in production	Already in production	Thinking about it	Thinking about it	Already in production	Already in production	Already in production	Thinking about it	Already in production	Currently evaluating it	Currently evaluating it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Already in production	No interest	
9/30/20 13:19	"Configuration generation, Configuration deployment, Configuration archiving, Software upgrade, Pre/Post Change Checks, Compliance Checks"	Vendor specific tools	"Excel macros, Ansible"	More than 1 a day	1 to 5 per week	Yes	Yes	CLI/SSH (Non-Netconf)	Ansible	"Ansible, Another open source project (not listed above)"			"ICMP/PING, Other active probes (IP SLA/RPM), SNMP, Syslog"	Up/Down/Threshold alert	"VMWare, Vendor provided solution (CML/VIRL/Junosphere/etc.)"	Yes - we have one or multiple source of data that are accurately representing the network	Database implementation	Network Architect / Engineer	10001-50000	"Checkpoint, Cisco ASA/Firepower, Cisco IOS/IOS XE/Viptela, Cisco IOS XR, Cisco NX-OS/ACI, F5, Juniper, VMWare"	"Datacenter, Campus/User Access, Internet Peering, WAN"	A lot			A lot			A little				Asia	use open source without support	"Time, Budget, Fear / Distrust of automation, Poor leadership / no automation strategy, Skills Gap"	No - our leadership is not formally investing in automation - but this remains a grassroots effort (neutral)	1 to 2 years	"Some of us learned on their own, Some of us took some network automation / programming training, We hired dedicated Network Automation Engineer(s)"	Less than 1 year	1001-4000	Learned on my own time	Already in production	Thinking about it	No interest	Currently evaluating it	Currently evaluating it	Thinking about it	No interest	Already in production	Thinking about it	Already in production	Thinking about it	Thinking about it	Already in production	Already in production	No interest	No interest	Thinking about it	Thinking about it	Thinking about it	Thinking about it	Thinking about it	No interest	Thinking about it	No interest	No interest	Thinking about it	Thinking about it	Already in production	
9/30/20 13:20	"Configuration generation, Configuration deployment, Pre/Post Change Checks, Anomaly detection, Data Collection / Reporting"	Rancid/Oxidized	"Ansible, Internally developed scripts"	More than 1 a day	1 to 5 per month	Yes	Partially	CLI/SSH (Non-Netconf)	We haven’t automated software upgrades	Internally developed scripts	"SNMP Exporter, We are using a traditional Network Monitoring solution"	We are using a traditional Network Monitoring solution	"ICMP/PING, SNMP, Syslog, sFlow/Netflow"	Up/Down/Threshold alert	We are not using virtual network devices for training or qualification	Partially - we are trying to maintain some source of data but there is always a drift with the real network	Spreadsheet	Network Administrator / Operator	0-50	"Cisco IOS/IOS XE/Viptela, Extreme Networks (brocade), Juniper"	"Datacenter, Campus/User Access, Internet Peering, WAN, Service Provider / Edge"	A little										Europe	use open source without support	"Budget, Fear / Distrust of automation, Poor leadership / no automation strategy, Skills Gap"	No - our leadership is not formally investing in automation - but this remains a grassroots effort (neutral)	Less than 1 year	Some of us learned on their own	1 to 2 years	0-200	"Learned on my own time, Dedicated some time per week at work"	Thinking about it	Thinking about it	I don't know	Already in production	Currently evaluating it	Thinking about it	I don't know	Thinking about it	I don't know	Thinking about it	I don't know	Already in production	Thinking about it	Already in production	No interest	Thinking about it	I don't know	I don't know	Already in production	Already in production	Already in production	No interest	No interest	No interest	No interest	No interest	Already in production	No interest	
9/30/20 13:49	"Configuration archiving, Data Collection / Reporting"	"FTP/SCP/TFTP, Vendor specific tools"	"Ansible, NAPALM, Controller"	More than 1 a day	1 to 5 per week	Yes	No	"CLI/SSH (Non-Netconf), Netconf"	Network vendor specific tools (DNAC/CVP/Space/PI/etc.)	We haven’t automated software qualification	"Network vendor specific collector, We are using a traditional Network Monitoring solution"	We are using a traditional Network Monitoring solution	"ICMP/PING, SNMP, Syslog, sFlow/Netflow"	Events correlation / rule engine	VMWare	Partially - we are trying to maintain some source of data but there is always a drift with the real network	An IPAM (Infoblox/Netbox/etc.)	Network Architect / Engineer	1001-5000	"Cisco ASA/Firepower, Cisco IOS/IOS XE/Viptela, Cisco NX-OS/ACI, Fortinet, Palo Alto"	"Datacenter, Campus/User Access, Internet Peering, WAN"	A lot	None	None	None	None	None	None	None	A little	A little	Europe	no prefered approach / varies on case by case	"Time, Fear / Distrust of automation, Poor leadership / no automation strategy, Skills Gap"	Yes - but we are not seeing real investment (reactive)	Less than 1 year	Some of us learned on their own			Learned on my own time	Currently evaluating it	Thinking about it	No interest	No interest	No interest	No interest	No interest	Currently evaluating it		I don't know	No interest	No interest	Already in production	Currently evaluating it			Currently evaluating it	Currently evaluating it								Thinking about it	Thinking about it		
9/30/20 13:56	"Configuration generation, Configuration deployment, Data Collection / Reporting, Topology Mapping"	We are not keeping track of that	"Nornir, NAPALM"	1 to 5 per month	Less than 1 per month	Yes	No	"CLI/SSH (Non-Netconf), Netconf"	We haven’t automated software upgrades	We haven’t automated software qualification	Another open source project (not listed above)		"SNMP, Syslog, sFlow/Netflow"	We haven’t automated the detection of anomaly	"GNS3, EVE-NG"	No - the configurations of our network devices is our only accurate source of information	"An IPAM (Infoblox/Netbox/etc.), Database implementation"	Network Administrator / Operator	1001-5000	"Juniper, Nokia"	Service Provider / Edge	A lot	None	None	A little	None	None	A little	A little		A little	South America	use open source without support	"Budget, Poor leadership / no automation strategy, Skills Gap"	No - our leadership is not formally investing in automation - but this remains a grassroots effort (neutral)	1 to 2 years	Some of us took some network automation / programming training	1 to 2 years	201-1000	Learned on my own time	Thinking about it	Thinking about it	I don't know	Thinking about it	Currently evaluating it	Currently evaluating it	I don't know	Currently evaluating it	Currently evaluating it	Thinking about it	Thinking about it	Thinking about it	Currently evaluating it	Thinking about it		I don't know	Currently evaluating it	Already in production	Currently evaluating it	Currently evaluating it	Already in production	Already in production	Already in production	Thinking about it	I don't know	Already in production	Already in production	I don't know	
9/30/20 13:57	"Day 0 Provisioning using a vendor solution (ZTP/PnP/POAP/Amnesiac/etc.), Configuration generation, Configuration deployment, Configuration archiving"	"Version control, Internally developed scripts, Another open source project (not listed above)"	"SaltStack, Nornir, NAPALM, Terraform, Internally developed scripts"	1 to 5 per week	1 to 5 per month	Yes	No	"CLI/SSH (Non-Netconf), Restconf, HTTP/HTTPS (Non-Restconf)"	Ansible	We haven’t automated software qualification	"Telegraf - SNMP, Telegraf - gNMI"	"InfluxDB, Prometheus, Grafana"	"SNMP, Syslog"	Up/Down/Threshold alert	"Vagrant, OpenStack, Kubernetes"	Yes - we have one or multiple source of data that are accurately representing the network	"An IPAM (Infoblox/Netbox/etc.), A DCIM (Netbox/Device42/etc.)"	Network Architect / Engineer	251-1000	"Amazon AWS, Dell/EMC, Juniper, HPE, Microsoft Azure, Nokia"	"Datacenter, Public Cloud"	A lot										Europe	use open source without support	Time	Yes - this is critical to the IT leadership strategy and we have active investment (proactive)	2 to 5 years	Some of us learned on their own	More than 5 years	1001-4000	Learned on my own time	Already in production	Currently evaluating it	Currently evaluating it	Currently evaluating it	Thinking about it	Currently evaluating it	No interest	Already in production	Already in production	Currently evaluating it	Currently evaluating it	Already in production	Currently evaluating it	Already in production	Already in production	No interest	Already in production	Currently evaluating it	Already in production	Already in production	Already in production	Already in production	Already in production	No interest	No interest	Thinking about it	Thinking about it	No interest	
9/30/20 13:57	"Configuration generation, Configuration deployment, Configuration archiving, Topology Mapping"	"Version control, Rancid/Oxidized, Microsoft Excel"	"Ansible, NAPALM, Terraform, Internally developed scripts, Another open source project (not listed above)"	More than 1 a day	Less than 1 per month	Yes	Yes	"CLI/SSH (Non-Netconf), Netconf"	Ansible	Internally developed scripts	"Telegraf - SNMP, Internally developed collector"	"InfluxDB, Elasticsearch, Grafana, Kibana"	"ICMP/PING, SNMP, Syslog, sFlow/Netflow"	Up/Down/Threshold alert	"GNS3, UNetLab"	Partially - we are trying to maintain some source of data but there is always a drift with the real network	Source Control (GitHub/GitLab/etc.)	Network Automation Engineer	5001-10000	"Amazon AWS, Arista, Ciena, Cisco IOS/IOS XE/Viptela, Cisco IOS XR, Cisco Meraki, Cisco NX-OS/ACI, Cumulus, Dell/EMC, F5, Juniper, HPE, Microsoft Azure, Nokia, Palo Alto, VMWare"	"Datacenter, Internet Peering"	A little	None	None	A little	None	A little	A little	A little	A little	None	Asia	build internally	Skills Gap	Yes - but we are not seeing real investment (reactive)	2 to 5 years	Some of us learned on their own	Less than 1 year	0-200	Learned on my own time	Already in production	Thinking about it	Already in production	Currently evaluating it	Currently evaluating it	Already in production	Currently evaluating it	Already in production	Already in production	Thinking about it	Thinking about it	Already in production	Already in production	Currently evaluating it	Currently evaluating it	Thinking about it	Currently evaluating it	Thinking about it	Currently evaluating it	Currently evaluating it	Already in production	Currently evaluating it	Already in production	Thinking about it	Thinking about it	Currently evaluating it	Currently evaluating it	Thinking about it	
